exchange,code,symbol,night_trading_hours
大商所,a,豆一,21：00-23：00
上期所,ag,沪银,21：00-02：30
上期所,al,沪铝,21：00-01：00
上期所,ao,氧化铝,21：00-01：00
郑商所,AP,苹果,无夜盘
上期所,au,沪金,21：00-02：30
大商所,b,豆二,21：00-23：00
上期能源,bc,国际铜,21：00-01：00
上期所,br,合成橡胶,21：00-23：00
上期所,bu,沥青,21：00-23：00
大商所,c,玉米,21：00-23：00
郑商所,CF,棉花,21：00-23：00
郑商所,CJ,红枣,无夜盘
大商所,cs,玉米淀粉,21：00-23：00
上期所,cu,沪铜,21：00-01：00
大商所,eb,苯乙烯,21：00-23：00
大商所,eg,乙二醇,21：00-23：00
郑商所,FG,玻璃,21：00-23：00
上期所,fu,燃油,21：00-23：00
上期所,hc,热卷,21：00-23：00
大商所,i,铁矿石,21：00-23：00
大商所,j,焦炭,21：00-23：00
大商所,jd,鸡蛋,无夜盘
大商所,jm,焦煤,21：00-23：00
大商所,l,塑料,21：00-23：00
广期所,lc,碳酸锂,无夜盘
大商所,lg,原木,无夜盘
大商所,lh,生猪,无夜盘
上期能源,lu,低硫燃油,21：00-23：00
大商所,m,豆粕,21：00-23：00
郑商所,MA,甲醇,21：00-23：00
上期所,ni,沪镍,21：00-01：00
上期能源,nr,20号胶,21：00-23：00
郑商所,OI,菜油,21：00-23：00
大商所,p,棕榈油,21：00-23：00
上期所,pb,沪铅,21：00-01：00
郑商所,PF,短纤,21：00-23：00
大商所,pg,LPG,21：00-23：00
郑商所,PK,花生,无夜盘
大商所,pp,聚丙烯,21：00-23：00
郑商所,PR,瓶片,21：00-23：00
广期所,ps,多晶硅,无夜盘
郑商所,PX,对二甲苯,21：00-23：00
上期所,rb,螺纹钢,21：00-23：00
郑商所,RM,菜粕,21：00-23：00
上期所,ru,橡胶,21：00-23：00
郑商所,SA,纯碱,21：00-23：00
上期能源,sc,原油,21：00-02：30
郑商所,SF,硅铁,无夜盘
郑商所,SH,烧碱,21：00-23：00
广期所,si,工业硅,无夜盘
郑商所,SM,锰硅,无夜盘
上期所,sn,沪锡,21：00-01：00
上期所,sp,纸浆,21：00-23：00
郑商所,SR,白糖,21：00-23：00
上期所,ss,不锈钢,21：00-01：00
郑商所,TA,PTA,21：00-23：00
郑商所,UR,尿素,无夜盘
大商所,v,PVC,21：00-23：00
大商所,y,豆油,21：00-23：00
上期所,zn,沪锌,21：00-01：00
